rank,name,file_path,function_name,description,cli_accessible,api_accessible,business_value,usage_frequency,complexity_score,priority_score,recommended_interface,command_suggestion,endpoint_suggestion,test_template
179,get_development_status,ai/agents/app_genesis.py,get_development_status,Get current development status.,,False,9,8,4,78,both,development status,GET /api/v1/development-status,
180,SeniorReviewer,ai/agents/senior_reviewer.py,,Senior Reviewer Agent for autonomous code quality control.,False,False,9,8,4,78,both,SeniorReviewer,POST /api/v1/SeniorReviewer,
181,review_changes,ai/agents/senior_reviewer.py,review_changes,Review code changes and make a decision.,,False,9,8,4,78,both,review changes,POST /api/v1/review-changes,
182,AgentStatus,ai/cli/enhanced_monitor.py,,Track status of different agent types,False,False,9,8,4,78,both,AgentStatus,POST /api/v1/AgentStatus,
183,EnhancedMonitor,ai/cli/enhanced_monitor.py,,Enhanced CLI monitor with interactive controls,False,False,9,8,4,78,cli,EnhancedMonitor,POST /api/v1/EnhancedMonitor,
184,update_agent,ai/cli/enhanced_monitor.py,update_agent,Update agent status,,False,9,8,4,78,both,agent update,PUT /api/v1/agent,
185,get_status_emoji,ai/cli/enhanced_monitor.py,get_status_emoji,Get emoji for agent status,,False,9,8,4,78,both,status emoji,GET /api/v1/status-emoji,
186,create_layout,ai/cli/enhanced_monitor.py,create_layout,Create the main dashboard layout,,False,9,8,4,78,both,create layout,POST /api/v1/layout,
187,create_header,ai/cli/enhanced_monitor.py,create_header,Create header with title and current time,,False,9,8,4,78,both,create header,POST /api/v1/header,
188,create_agent_panel,ai/cli/enhanced_monitor.py,create_agent_panel,Create agent status panel,,False,9,8,4,78,both,agent create  panel,POST /api/v1/agent-panel,
189,create_activity_panel,ai/cli/enhanced_monitor.py,create_activity_panel,Create activity feed panel,,False,9,8,4,78,both,create activity panel,POST /api/v1/activity-panel,
190,create_controls_panel,ai/cli/enhanced_monitor.py,create_controls_panel,Create controls panel with detailed descriptions,,False,9,8,4,78,both,create controls panel,POST /api/v1/controls-panel,
191,add_activity,ai/cli/enhanced_monitor.py,add_activity,Add activity to recent activities,,False,9,8,4,78,both,add activity,POST /api/v1/activity,
192,infer_directory_purpose,ai/cli/enhanced_monitor.py,infer_directory_purpose,Infer the purpose of a directory from its name and contents,,False,9,8,4,78,both,infer directory purpose,POST /api/v1/infer-directory-purpose,
193,infer_file_purpose,ai/cli/enhanced_monitor.py,infer_file_purpose,Infer the purpose of a Python file from its name,,False,9,8,4,78,both,infer file purpose,POST /api/v1/infer-file-purpose,
194,run_loop,ai/cli/enhanced_monitor.py,run_loop,Function run_loop,,False,9,8,4,78,both,run loop,POST /api/v1/run-loop,
195,cmd_spawn,ai/cli/fresh.py,cmd_spawn,Spawn an agent for a specific task.,,False,9,8,4,78,both,cmd spawn,POST /api/v1/cmd-spawn,
196,cmd_orchestrate,ai/cli/fresh.py,cmd_orchestrate,Orchestrate complex multi-agent research and analysis.,,False,9,8,4,78,both,cmd orchestrate,POST /api/v1/cmd-orchestrate,
197,cmd_monitor,ai/cli/fresh.py,cmd_monitor,Monitor command with enhanced interactive option.,,False,9,8,4,78,cli,monitor cmd,POST /api/v1/cmd-monitor,
198,memory,ai/cli/magic_cli.py,memory,Show and manage Fresh AI memory.,,False,9,8,4,78,both,memory ,POST /api/v1/memory,
199,MemoryIntegrationConfig,ai/system/memory_integration.py,,Configuration for memory system integration.,False,False,9,8,4,78,both,MemoryIntegrationConfig,POST /api/v1/MemoryIntegrationConfig,
200,get_memory_store,ai/system/memory_integration.py,get_memory_store,Get the current memory store instance.,,False,9,8,4,78,both,memory store,GET /api/v1/memory-store,
201,AgentExecution,ai/execution/monitor.py,,Execution context for a spawned agent.,False,False,9,8,4,78,both,AgentExecution,POST /api/v1/AgentExecution,
202,AgentExecutionMonitor,ai/execution/monitor.py,,Monitors and coordinates real-time agent execution with agency swarm.,False,False,9,8,4,78,both,AgentExecutionMonitor,POST /api/v1/AgentExecutionMonitor,
203,get_execution_monitor,ai/execution/monitor.py,get_execution_monitor,Get the global agent execution monitor instance.,,False,9,8,4,78,both,monitor execution,GET /api/v1/execution-monitor,
204,CodebaseMonitor,ai/autonomous/monitor.py,,Continuously monitors codebase health and quality metrics.,False,False,9,8,4,78,both,CodebaseMonitor,POST /api/v1/CodebaseMonitor,
205,comprehensive_scan,ai/autonomous/monitor.py,comprehensive_scan,Perform comprehensive codebase scan.,,False,9,8,4,78,both,comprehensive scan,POST /api/v1/comprehensive-scan,
206,analyze_patterns,ai/autonomous/monitor.py,analyze_patterns,Analyze code patterns and anti-patterns.,,False,9,8,4,78,both,analyze patterns,POST /api/v1/analyze-patterns,
207,detect_regressions,ai/autonomous/monitor.py,detect_regressions,Detect performance or quality regressions.,,False,9,8,4,78,both,detect regressions,POST /api/v1/detect-regressions,
208,simulate_agent_activity,scripts/demo-adaptive-monitor.py,simulate_agent_activity,Simulate realistic agent activity patterns.,,False,9,8,4,78,both,agent simulate  activity,POST /api/v1/simulate-agent-activity,
209,demo_static_display,scripts/demo-adaptive-monitor.py,demo_static_display,Show a single snapshot of the monitoring display.,,False,9,8,4,78,both,demo static display,POST /api/v1/demo-static-display,
210,demo_live_monitoring,scripts/demo-adaptive-monitor.py,demo_live_monitoring,Demo the live monitoring with adaptive refresh.,,False,9,8,4,78,both,monitor demo live ing,POST /api/v1/demo-live-monitoring,
211,main,scripts/demo-adaptive-monitor.py,main,Main demo script.,,False,9,8,4,78,both,main,POST /api/v1/main,
212,MonitoringValidator,scripts/validate-monitoring.py,,Validates the adaptive monitoring system through controlled testing.,False,False,9,8,4,78,both,MonitoringValidator,POST /api/v1/MonitoringValidator,
213,main,scripts/validate-monitoring.py,main,Run the monitoring validation suite.,,False,9,8,4,78,both,main,POST /api/v1/main,
214,clear_activity,scripts/validate-monitoring.py,clear_activity,Clear existing activity to start fresh.,,False,9,8,4,78,both,clear activity,POST /api/v1/clear-activity,
215,run_stress_test,scripts/validate-monitoring.py,run_stress_test,Run a stress test with continuous activity.,,False,9,8,4,78,both,run stress test,POST /api/v1/run-stress-test,
216,run_all_tests,scripts/validate-monitoring.py,run_all_tests,Run complete validation suite.,,False,9,8,4,78,both,run all tests,POST /api/v1/run-all-tests,
217,print_section,scripts/demo-persistent-memory.py,print_section,Print a formatted section header.,,False,9,8,4,78,both,print section,POST /api/v1/print-section,
218,simulate_agent_activity,scripts/demo-persistent-memory.py,simulate_agent_activity,Simulate diverse agent activity to populate memory.,,False,9,8,4,78,both,agent simulate  activity,POST /api/v1/simulate-agent-activity,
219,demonstrate_search_capabilities,scripts/demo-persistent-memory.py,demonstrate_search_capabilities,Demonstrate various search and query capabilities.,,False,9,8,4,78,both,demonstrate search capabilities,POST /api/v1/demonstrate-search-capabilities,
220,demonstrate_analytics,scripts/demo-persistent-memory.py,demonstrate_analytics,Demonstrate memory analytics and learning patterns.,,False,9,8,4,78,both,demonstrate analytics,POST /api/v1/demonstrate-analytics,
221,demonstrate_consolidation,scripts/demo-persistent-memory.py,demonstrate_consolidation,Demonstrate memory consolidation (dry run only).,,False,9,8,4,78,both,demonstrate consolidation,POST /api/v1/demonstrate-consolidation,
222,demonstrate_sync,scripts/demo-persistent-memory.py,demonstrate_sync,Demonstrate memory synchronization if Firestore is available.,,False,9,8,4,78,both,demonstrate sync,POST /api/v1/demonstrate-sync,
223,main,scripts/demo-persistent-memory.py,main,Run the persistent memory demonstration.,,False,9,8,4,78,both,main,POST /api/v1/main,
224,run_demo,scripts/setup_cost_monitoring.py,run_demo,Run a demo with sample data.,,False,9,8,4,78,both,run demo,POST /api/v1/run-demo,
225,show_integration_examples,scripts/setup_cost_monitoring.py,show_integration_examples,Show integration examples.,,False,9,8,4,78,both,show integration examples,POST /api/v1/show-integration-examples,
226,main,scripts/setup_cost_monitoring.py,main,Main setup function.,,False,9,8,4,78,both,main,POST /api/v1/main,
227,show_optimization_opportunities,scripts/cost_monitoring_first_apps.py,show_optimization_opportunities,Show immediate optimization opportunities.,,False,9,8,4,78,both,show optimization opportunities,POST /api/v1/show-optimization-opportunities,
228,check_budget_status,scripts/cost_monitoring_first_apps.py,check_budget_status,Check current budget status and alerts.,,False,9,8,4,78,both,check budstatus,POST /api/v1/check-budget-status,
229,AdaptiveWatcher,scripts/watch-agents-adaptive.py,,Main class for adaptive agent monitoring.,False,False,9,8,4,78,both,AdaptiveWatcher,POST /api/v1/AdaptiveWatcher,
230,main,scripts/watch-agents-adaptive.py,main,CLI entry point.,,False,9,8,4,78,cli,main,POST /api/v1/main,
231,track_openai_streaming_call,ai/monitor/openai_tracker.py,track_openai_streaming_call,Decorator for streaming OpenAI calls.,,False,9,8,6,76,both,track openai streaming call,POST /api/v1/track-openai-streaming-call,
232,estimate_cost_for_messages,ai/monitor/openai_tracker.py,estimate_cost_for_messages,Estimate cost for a chat completion without making the API call.,,False,9,8,6,76,both,estimate cost for messages,POST /api/v1/estimate-cost-for-messages,
233,estimate_and_track_from_messages,ai/monitor/openai_tracker.py,estimate_and_track_from_messages,Estimate and track usage from messages and response.,,False,9,8,6,76,both,estimate and track from messages,POST /api/v1/estimate-and-track-from-messages,
234,create_current_usage_panel,ai/monitor/cost_dashboard.py,create_current_usage_panel,Create current usage summary panel.,,False,9,8,6,76,both,create current usage panel,POST /api/v1/current-usage-panel,
235,create_service_breakdown_panel,ai/monitor/cost_dashboard.py,create_service_breakdown_panel,Create service breakdown panel.,,False,9,8,6,76,both,create service breakdown panel,POST /api/v1/service-breakdown-panel,
236,create_budget_status_panel,ai/monitor/cost_dashboard.py,create_budget_status_panel,Create budget status panel.,,False,9,8,6,76,both,create budstatus panel,POST /api/v1/budget-status-panel,
237,create_recent_activity_panel,ai/monitor/cost_dashboard.py,create_recent_activity_panel,Create recent activity panel.,,False,9,8,6,76,both,create recent activity panel,POST /api/v1/recent-activity-panel,
238,create_tracked_firestore_client,ai/monitor/firestore_tracker.py,create_tracked_firestore_client,Create a tracked Firestore client from an existing client.,,False,9,8,6,76,cli,create tracked firestore client,POST /api/v1/tracked-firestore-client,
239,get_cost_breakdown_analysis,ai/monitor/cost_optimizer.py,get_cost_breakdown_analysis,Get detailed cost breakdown analysis.,,False,9,8,6,76,both,cost breakdown analysis,GET /api/v1/cost-breakdown-analysis,
240,create_firestore_memory_store,ai/memory/firestore_store.py,create_firestore_memory_store,Factory function to create FirestoreMemoryStore with error handling.,,False,9,8,6,76,both,memory create firestore  store,POST /api/v1/firestore-memory-store,
241,send_message_to_parent,ai/agents/mother.py,send_message_to_parent,Send message to parent agent.,,False,9,8,6,76,both,send message to parent,POST /api/v1/send-message-to-parent,
242,get_agent_by_id,ai/agents/mother.py,get_agent_by_id,Get agent by ID.,,False,9,8,6,76,both,agent by id,GET /api/v1/agent-by-id,
243,get_memory_integration_manager,ai/system/memory_integration.py,get_memory_integration_manager,Get the global memory integration manager.,,False,9,8,6,76,both,memory integration manager,GET /api/v1/memory-integration-manager,
244,initialize_agent_memory_system,ai/system/memory_integration.py,initialize_agent_memory_system,Initialize the memory system for agent workflows.,,False,9,8,6,76,both,memory initialize agent  system,POST /api/v1/initialize-agent-memory-system,
245,get_memory_system_status,ai/system/memory_integration.py,get_memory_system_status,Get current memory system status and health information.,,False,9,8,6,76,both,memory system status,GET /api/v1/memory-system-status,
246,ensure_memory_system_ready,ai/system/memory_integration.py,ensure_memory_system_ready,Ensure the memory system is initialized and ready for use.,,False,9,8,6,76,both,memory ensure  system ready,POST /api/v1/ensure-memory-system-ready,
247,initialize_memory_system,ai/system/memory_integration.py,initialize_memory_system,Initialize the memory system based on configuration.,,False,9,8,8,74,both,memory initialize  system,POST /api/v1/initialize-memory-system,
248,setup_cost_monitoring,scripts/setup_cost_monitoring.py,setup_cost_monitoring,Set up the cost monitoring system.,,False,9,8,8,74,both,monitor setup cost ing,POST /api/v1/setup-cost-monitoring,
249,WriteMemory,ai/tools/enhanced_mcp.py,,Class WriteMemory,False,False,9,7,4,69,both,WriteMemory,POST /api/v1/WriteMemory,
250,ReadMemoryContext,ai/tools/enhanced_mcp.py,,Class ReadMemoryContext,False,False,9,7,4,69,both,ReadMemoryContext,POST /api/v1/ReadMemoryContext,
251,load_env_file,ai/interface/telegram_bot.py,load_env_file,Load environment variables from .env file.,,False,9,6,4,60,cli,load env file,POST /api/v1/load-env-file,
252,EnhancedDashboardController,ai/interface/enhanced_dashboard.py,,Enhanced controller with Mother Agent integration and task management,False,False,9,6,4,60,cli,EnhancedDashboardController,POST /api/v1/EnhancedDashboardController,
253,EnhancedDashboardHandler,ai/interface/enhanced_dashboard.py,,Enhanced HTTP handler with Mother Agent chat and orchestration,False,False,9,6,4,60,api,EnhancedDashboardHandler,POST /api/v1/EnhancedDashboardHandler,
254,handle_orchestrate_post,ai/interface/enhanced_dashboard.py,handle_orchestrate_post,Handle orchestration requests,,False,9,6,4,60,cli,handle orchestrate post,POST /api/v1/handle-orchestrate-post,
255,SpawnedAgent,ai/interface/agent_spawner.py,,Represents a dynamically spawned agent with its configuration and state.,False,False,9,6,4,60,cli,SpawnedAgent,POST /api/v1/SpawnedAgent,
256,AgentSpawner,ai/interface/agent_spawner.py,,"Manages dynamic agent spawning, execution, and lifecycle.",False,False,9,6,4,60,cli,AgentSpawner,POST /api/v1/AgentSpawner,
257,get_agent_spawner,ai/interface/agent_spawner.py,get_agent_spawner,Get the global agent spawner instance.,,False,9,6,4,60,cli,agent spawner,GET /api/v1/agent-spawner,
258,get_spawn_status,ai/interface/agent_spawner.py,get_spawn_status,Get status of a spawn request.,,False,9,6,4,60,cli,spawn status,GET /api/v1/spawn-status,
259,list_active_agents,ai/interface/agent_spawner.py,list_active_agents,List all currently active spawned agents (synchronous).,,False,9,6,4,60,cli,agent list active s,POST /api/v1/list-active-agents,
260,initialize_agents,ai/interface/enhanced_dashboard.py,initialize_agents,Initialize Mother Agent instances,,False,9,6,8,56,cli,agent initialize s,POST /api/v1/initialize-agents,
261,test,ai/cli/magic.py,test,Add tests described in natural language.,,False,6,8,4,54,cli,test,POST /api/v1/test,
262,cmd_assist_report,ai/cli/fresh.py,cmd_assist_report,Function cmd_assist_report,,False,6,8,4,54,cli,cmd assist report,POST /api/v1/cmd-assist-report,
263,cmd_feature_validate,ai/cli/fresh.py,cmd_feature_validate,Validate that all features meet quality standards.,,False,6,8,4,54,cli,cmd feature validate,POST /api/v1/cmd-feature-validate,
264,test,ai/cli/magic_cli.py,test,Add tests described in natural language.,,False,6,8,4,54,cli,test,POST /api/v1/test,
265,DocsAlignmentCheck,ai/tools/docs_tools.py,,Run documentation alignment checks and return a summary report.,False,False,6,7,4,48,cli,DocsAlignmentCheck,POST /api/v1/DocsAlignmentCheck,
266,main,ai/tools/release_notes_cli.py,main,Function main,,False,5,8,4,46,cli,main,POST /api/v1/main,
267,CallMCPTool,ai/tools/mcp_client.py,,Safely call an MCP tool with specified arguments.,False,False,5,8,4,46,cli,CallMCPTool,POST /api/v1/CallMCPTool,
268,BaseTool,ai/tools/mcp_client.py,,Class BaseTool,False,False,5,8,4,46,cli,BaseTool,POST /api/v1/BaseTool,
269,MagicCommand,ai/cli/magic.py,,The magic command interface that makes development effortless.,False,False,5,8,4,46,cli,MagicCommand,POST /api/v1/MagicCommand,
270,fix,ai/cli/magic.py,fix,Fix issues described in natural language.,,False,5,8,4,46,cli,fix,POST /api/v1/fix,
271,add,ai/cli/magic.py,add,Add new features described in natural language.,,False,5,8,4,46,cli,add,POST /api/v1/add,
272,refactor,ai/cli/magic.py,refactor,Refactor code as described in natural language.,,False,5,8,4,46,cli,refactor,POST /api/v1/refactor,
273,cmd_scan,ai/cli/fresh.py,cmd_scan,Scan repository for issues and print as JSON.,,False,5,8,4,46,cli,cmd scan,POST /api/v1/cmd-scan,
274,cmd_run,ai/cli/fresh.py,cmd_run,Run autonomous development loop.,,False,5,8,4,46,cli,cmd run,POST /api/v1/cmd-run,
275,cmd_health,ai/cli/fresh.py,cmd_health,Print health information as JSON and return 0.,,False,5,8,4,46,cli,cmd health,POST /api/v1/cmd-health,
276,cmd_version,ai/cli/fresh.py,cmd_version,Print version and commit in a human-friendly format and return 0.,,False,5,8,4,46,cli,cmd version,POST /api/v1/cmd-version,
277,cmd_scaffold_new,ai/cli/fresh.py,cmd_scaffold_new,Function cmd_scaffold_new,,False,5,8,4,46,cli,cmd scaffold new,POST /api/v1/cmd-scaffold-new,
278,cmd_autonomous_status,ai/cli/fresh.py,cmd_autonomous_status,Show autonomous loop status.,,False,5,8,4,46,cli,cmd autonomous status,POST /api/v1/cmd-autonomous-status,
279,cmd_autonomous_cycle,ai/cli/fresh.py,cmd_autonomous_cycle,Run single autonomous improvement cycle.,,False,5,8,4,46,cli,cmd autonomous cycle,POST /api/v1/cmd-autonomous-cycle,
280,cmd_autonomous_start,ai/cli/fresh.py,cmd_autonomous_start,Start continuous autonomous loop.,,False,5,8,4,46,cli,cmd autonomous start,POST /api/v1/cmd-autonomous-start,
281,cmd_autonomous_stop,ai/cli/fresh.py,cmd_autonomous_stop,Stop continuous autonomous loop.,,False,5,8,4,46,cli,cmd autonomous stop,POST /api/v1/cmd-autonomous-stop,
282,cmd_feature_inventory,ai/cli/fresh.py,cmd_feature_inventory,Run feature inventory to identify unhooked features and quality issues.,,False,5,8,4,46,cli,cmd feature inventory,POST /api/v1/cmd-feature-inventory,
283,main,ai/cli/fresh.py,main,Main CLI entry point.,,False,5,8,4,46,cli,main,POST /api/v1/main,
284,allowed_task,ai/cli/fresh.py,allowed_task,Function allowed_task,,False,5,8,4,46,cli,allowed task,POST /api/v1/allowed-task,
285,cmd_assist_scan,ai/cli/fresh.py,cmd_assist_scan,"Safe, dry-run scan for assist mode (JSON or human).",,False,5,8,4,46,cli,cmd assist scan,POST /api/v1/cmd-assist-scan,
286,show_progress,ai/cli/magic_cli.py,show_progress,Show progress updates to user.,,False,5,8,4,46,cli,show progress,POST /api/v1/show-progress,
287,cli,ai/cli/magic_cli.py,cli,Fresh AI - Natural language development commands.,,False,5,8,4,46,cli,cli,POST /api/v1/cli,
288,fix,ai/cli/magic_cli.py,fix,Fix issues described in natural language.,,False,5,8,4,46,cli,fix,POST /api/v1/fix,
289,add,ai/cli/magic_cli.py,add,Add new features described in natural language.,,False,5,8,4,46,cli,add,POST /api/v1/add,
290,refactor,ai/cli/magic_cli.py,refactor,Refactor code as described in natural language.,,False,5,8,4,46,cli,refactor,POST /api/v1/refactor,
291,status,ai/cli/magic_cli.py,status,Show status of the Fresh AI system.,,False,5,8,4,46,cli,status,POST /api/v1/status,
292,cmd_assist_plan_pr,ai/cli/fresh.py,cmd_assist_plan_pr,Function cmd_assist_plan_pr,,False,5,8,6,44,cli,cmd assist plan pr,POST /api/v1/cmd-assist-plan-pr,
293,cmd_autonomous_emergency_stop,ai/cli/fresh.py,cmd_autonomous_emergency_stop,Activate emergency stop.,,False,5,8,6,44,cli,cmd autonomous emergency stop,POST /api/v1/cmd-autonomous-emergency-stop,
294,cmd_autonomous_clear_emergency,ai/cli/fresh.py,cmd_autonomous_clear_emergency,Clear emergency stop.,,False,5,8,6,44,cli,cmd autonomous clear emergency,POST /api/v1/cmd-autonomous-clear-emergency,
295,cmd_feature_hook_missing,ai/cli/fresh.py,cmd_feature_hook_missing,Hook up features that are implemented but not accessible.,,False,5,8,6,44,cli,cmd feature hook missing,POST /api/v1/cmd-feature-hook-missing,
296,build_enhanced_agency,ai/enhanced_agency.py,build_enhanced_agency,Construct the enhanced agency with intelligent memory-powered agents.,,False,9,4,4,42,cli,build enhanced agency,POST /api/v1/build-enhanced-agency,
297,StatusCoordinator,ai/coordination/status.py,,Coordinates status updates and notifications across agent teams.,False,False,9,4,4,42,cli,StatusCoordinator,POST /api/v1/StatusCoordinator,
298,GitHubPRIntegration,ai/integration/github_pr.py,,Simplified GitHub integration for autonomous PR creation.,False,False,9,4,4,42,cli,GitHubPRIntegration,POST /api/v1/GitHubPRIntegration,
299,create_feature_branch,ai/integration/github_pr.py,create_feature_branch,Create a feature branch for agent work.,,False,9,4,4,42,cli,create feature branch,POST /api/v1/feature-branch,
300,create_pull_request,ai/integration/github_pr.py,create_pull_request,Create a pull request.,,False,9,4,4,42,cli,create pull request,POST /api/v1/pull-request,
301,add_pr_comment,ai/integration/github_pr.py,add_pr_comment,Add a comment to a pull request.,,False,9,4,4,42,cli,add pr comment,POST /api/v1/pr-comment,
302,GitHubIntegration,ai/integration/github.py,,Manages GitHub integration for automated PR creation from agent work.,False,False,9,4,4,42,cli,GitHubIntegration,POST /api/v1/GitHubIntegration,
303,get_github_integration,ai/integration/github.py,get_github_integration,Get the global GitHub integration instance.,,False,9,4,4,42,cli,github integration,GET /api/v1/github-integration,
304,WorkflowOrchestrator,ai/workflows/__init__.py,,Main orchestrator for the Advanced Agent Workflow System.,False,False,9,4,4,42,cli,WorkflowOrchestrator,POST /api/v1/WorkflowOrchestrator,
305,AgentSpawnNode,ai/workflows/types.py,,Node for spawning new agents during workflow execution.,False,False,9,4,4,42,cli,AgentSpawnNode,POST /api/v1/AgentSpawnNode,
306,AgentExecuteNode,ai/workflows/types.py,,Node for executing tasks with spawned agents.,False,False,9,4,4,42,cli,AgentExecuteNode,POST /api/v1/AgentExecuteNode,
307,WorkflowExecutionEngine,ai/workflows/engine.py,,Advanced execution engine for agent workflows.,False,False,9,4,4,42,cli,WorkflowExecutionEngine,POST /api/v1/WorkflowExecutionEngine,
308,spawn_agent,ai/workflows/language.py,spawn_agent,Add an agent spawn node.,,False,9,4,4,42,cli,agent spawn,POST /api/v1/spawn-agent,
309,execute_agent,ai/workflows/language.py,execute_agent,Add an agent execution node.,,False,9,4,4,42,cli,agent execute,POST /api/v1/execute-agent,
310,FreshAgentSystem,ai/system/coordinator.py,,Coordinates initialization and lifecycle of all agent system components.,False,False,9,4,4,42,cli,FreshAgentSystem,POST /api/v1/FreshAgentSystem,
311,get_system,ai/system/coordinator.py,get_system,Get the global Fresh Agent System instance.,,False,9,4,4,42,cli,system,GET /api/v1/system,
312,FreshAgentSystem,ai/system/init.py,,Coordinates initialization and lifecycle of all agent system components.,False,False,9,4,4,42,cli,FreshAgentSystem,POST /api/v1/FreshAgentSystem,
313,get_system,ai/system/init.py,get_system,Get the global Fresh Agent System instance.,,False,9,4,4,42,cli,system,GET /api/v1/system,
314,monitor_health,ai/autonomous/safety.py,monitor_health,Monitor system health and return status.,,False,9,4,4,42,cli,monitor health,POST /api/v1/monitor-health,
315,SelfDocumentingLoopService,ai/services/self_documenting_loop.py,,Service that continuously monitors and documents codebase features.,False,False,9,4,4,42,cli,SelfDocumentingLoopService,POST /api/v1/SelfDocumentingLoopService,
316,stop_monitoring,ai/services/self_documenting_loop.py,stop_monitoring,Stop the self-documenting loop monitoring.,,False,9,4,4,42,cli,monitor stop ing,POST /api/v1/stop-monitoring,
317,process_task,ai/loop/dev_loop.py,process_task,Process a single task with appropriate agent.,,False,9,4,4,42,cli,process task,POST /api/v1/process-task,
318,RepoScanner,ai/loop/repo_scanner.py,,Scans repository for issues that agents can fix.,False,False,9,4,4,42,cli,RepoScanner,POST /api/v1/RepoScanner,
319,AgentTypeAnalysis,ai/analytics/performance.py,,Analysis results for a specific agent type.,False,False,9,4,4,42,cli,AgentTypeAnalysis,POST /api/v1/AgentTypeAnalysis,
320,PerformanceAnalytics,ai/analytics/performance.py,,Tracks and analyzes agent performance for optimization.,False,False,9,4,4,42,cli,PerformanceAnalytics,POST /api/v1/PerformanceAnalytics,
321,record_spawn_metrics,ai/analytics/performance.py,record_spawn_metrics,Record metrics for agent spawning.,,False,9,4,4,42,cli,record spawn metrics,POST /api/v1/record-spawn-metrics,
322,record_execution_metrics,ai/analytics/performance.py,record_execution_metrics,Record metrics for agent execution.,,False,9,4,4,42,cli,record execution metrics,POST /api/v1/record-execution-metrics,
323,record_completion_metrics,ai/analytics/performance.py,record_completion_metrics,Record metrics for agent completion.,,False,9,4,4,42,cli,record completion metrics,POST /api/v1/record-completion-metrics,
324,AgentActivitySimulator,scripts/demo-agent-activity.py,,Simulates realistic agent activity patterns for monitoring validation.,False,False,9,4,4,42,cli,AgentActivitySimulator,POST /api/v1/AgentActivitySimulator,
325,main,scripts/demo-agent-activity.py,main,Run the agent activity simulation demo.,,False,9,4,4,42,cli,main,POST /api/v1/main,
326,simulate_agent_thinking,scripts/demo-agent-activity.py,simulate_agent_thinking,Simulate an agent thinking/processing.,,False,9,4,4,42,cli,agent simulate  thinking,POST /api/v1/simulate-agent-thinking,
327,simulate_memory_operations,scripts/demo-agent-activity.py,simulate_memory_operations,Simulate memory read/write operations.,,False,9,4,4,42,cli,memory simulate  operations,POST /api/v1/simulate-memory-operations,
328,simulate_agent_flow,scripts/demo-agent-activity.py,simulate_agent_flow,Simulate work flowing from one agent to another.,,False,9,4,4,42,cli,agent simulate  flow,POST /api/v1/simulate-agent-flow,
329,show_activity_summary,scripts/demo-agent-activity.py,show_activity_summary,Display current activity levels and recent events.,,False,9,4,4,42,cli,show activity summary,POST /api/v1/show-activity-summary,
330,main,scripts/agent_heartbeat.py,main,Function main,,False,9,4,4,42,cli,main,POST /api/v1/main,
331,patch_firestore_memory,scripts/apply_firestore_cost_tracking.py,patch_firestore_memory,Patch the basic Firestore memory store with cost tracking.,,False,9,4,4,42,cli,memory patch firestore,POST /api/v1/patch-firestore-memory,
332,patch_enhanced_firestore,scripts/apply_firestore_cost_tracking.py,patch_enhanced_firestore,Patch the enhanced Firestore memory store with cost tracking.,,False,9,4,4,42,cli,patch enhanced firestore,POST /api/v1/patch-enhanced-firestore,
333,patch_firestore_store,scripts/apply_firestore_cost_tracking.py,patch_firestore_store,Patch the production Firestore memory store with cost tracking.,,False,9,4,4,42,cli,patch firestore store,POST /api/v1/patch-firestore-store,
334,main,scripts/apply_firestore_cost_tracking.py,main,Apply cost tracking to all Firestore memory systems.,,False,9,4,4,42,cli,main,POST /api/v1/main,
335,get_github_workflows,scripts/inventory_codebase.py,get_github_workflows,Scan GitHub workflows.,,False,9,4,4,42,cli,github workflows,GET /api/v1/github-workflows,
336,get_agent_classes,scripts/inventory_codebase.py,get_agent_classes,Find all agent class definitions.,,False,9,4,4,42,cli,agent classes,GET /api/v1/agent-classes,
337,get_memory_implementations,scripts/inventory_codebase.py,get_memory_implementations,Find memory store implementations.,,False,9,4,4,42,cli,memory implementations,GET /api/v1/memory-implementations,
338,normalize_tag,ai/tools/intent.py,normalize_tag,Function normalize_tag,,False,5,7,4,41,cli,normalize tag,POST /api/v1/normalize-tag,
339,BaseTool,ai/tools/intent.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
340,BaseTool,ai/tools/dod_checker.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
341,BaseTool,ai/tools/release_notes.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
342,BaseTool,ai/tools/adr_logger.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
343,BaseTool,ai/tools/docs_tools.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
344,BaseTool,ai/tools/next_steps.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
345,run_development_cycle_demo,scripts/demo-agent-activity.py,run_development_cycle_demo,Simulate a realistic development cycle through the agent chain.,,False,9,4,6,40,cli,run development cycle demo,POST /api/v1/run-development-cycle-demo,
346,initialize_intelligent_memory,ai/enhanced_agency.py,initialize_intelligent_memory,Initialize the intelligent memory store with fallback options.,,False,9,4,8,38,cli,memory initialize intelligent,POST /api/v1/initialize-intelligent-memory,
347,cancel_task,ai/interface/enhanced_dashboard.py,cancel_task,Cancel a running task,,False,5,6,4,36,cli,cancel task,POST /api/v1/cancel-task,
